,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,image,summary,_links
28,151645,https://www.tvmaze.com/episodes/151645/under-the-dome-3x03-redux,Redux,3,3,regular,2015-07-02,22:00,2015-07-03T02:00:00+00:00,60,5.2,https://static.tvmaze.com/uploads/images/medium_landscape/12/31939.jpg,"The residents of Chester's Mill try to move on with their lives in the aftermath of their mysterious experience in the tunnels beneath town. Meanwhile, Big Jim suspects new residents Christine and Eva are keeping secrets concerning the Dome.<br><br>",https://api.tvmaze.com/episodes/151645
29,153120,https://www.tvmaze.com/episodes/153120/under-the-dome-3x04-the-kinship,The Kinship,3,4,regular,2015-07-09,22:00,2015-07-10T02:00:00+00:00,60,5.5,https://static.tvmaze.com/uploads/images/medium_landscape/12/32457.jpg,"Urges the townspeople towards specific individuals and projects that remind them of their experience in the tunnels. Also, Julia and Big Jim make shocking discoveries that reveal a new threat within the Dome.",https://api.tvmaze.com/episodes/153120
30,176889,https://www.tvmaze.com/episodes/176889/under-the-dome-3x05-alaska,Alaska,3,5,regular,2015-07-16,22:00,2015-07-17T02:00:00+00:00,60,5.6,https://static.tvmaze.com/uploads/images/medium_landscape/13/33494.jpg,"Big Jim and Julia form a tentative alliance to search for proof that will discredit Christine, which leads them to new information about the Dome's capabilities. Meanwhile, when tensions run high in town and threaten Christine's leadership, she puts a plan in play that has deadly consequences.",https://api.tvmaze.com/episodes/176889
31,176890,https://www.tvmaze.com/episodes/176890/under-the-dome-3x06-caged,Caged,3,6,regular,2015-07-23,22:00,2015-07-24T02:00:00+00:00,60,5.8,https://static.tvmaze.com/uploads/images/medium_landscape/13/34493.jpg,"For information about her agenda. Also, when Joe and Norrie question the town's new rules, they find themselves in a dangerous face-off with the increasingly unstable residents.",https://api.tvmaze.com/episodes/176890
32,185048,https://www.tvmaze.com/episodes/185048/under-the-dome-3x07-ejecta,Ejecta,3,7,regular,2015-07-30,22:00,2015-07-31T02:00:00+00:00,60,5.7,https://static.tvmaze.com/uploads/images/medium_landscape/13/34948.jpg,"As the world outside the Dome is rocked by a catastrophic meteor shower, unexpected alliances form inside the barrier. Eva tries to indoctrinate Barbie deeper into The Kinship and Big Jim and Julia turn to one another while isolated on Bird Island outside of town. Also, Joe is forced to accept help from Sam, the man who killed his sister.",https://api.tvmaze.com/episodes/185048
33,185049,https://www.tvmaze.com/episodes/185049/under-the-dome-3x08-breaking-point,Breaking Point,3,8,regular,2015-08-06,22:00,2015-08-07T02:00:00+00:00,60,5.7,https://static.tvmaze.com/uploads/images/medium_landscape/14/36036.jpg,"Who is mobilizing residents to work on a massive excavation project in the caves underneath the town. Also, Hunter uses his tech skills to contact the outside world.",https://api.tvmaze.com/episodes/185049
34,185050,https://www.tvmaze.com/episodes/185050/under-the-dome-3x09-plan-b,Plan B,3,9,regular,2015-08-13,22:00,2015-08-14T02:00:00+00:00,60,5.5,https://static.tvmaze.com/uploads/images/medium_landscape/14/37358.jpg,"Control over the town by initiating a life-or-death plot involving Barbie and Eva, while Joe and Norrie conduct research to better understand the Dome's ultimate agenda. Meanwhile, Hunter finds more information about the true head of Aktaion, the nefarious private corporation that wants to harness the Dome's energy.",https://api.tvmaze.com/episodes/185050
35,185051,https://www.tvmaze.com/episodes/185051/under-the-dome-3x10-legacy,Legacy,3,10,regular,2015-08-20,22:00,2015-08-21T02:00:00+00:00,60,5.4,https://static.tvmaze.com/uploads/images/medium_landscape/15/39057.jpg,"The nefarious head of Aktaion. Despite Hektor revealing more about the Dome's origins and helping to strike back at it, Big Jim and Julia still worry he will betray them. Meanwhile, Hunter receives encrypted files that give disturbing insights into the final effect the Dome will have on the infected townspeople.",https://api.tvmaze.com/episodes/185051
36,185052,https://www.tvmaze.com/episodes/185052/under-the-dome-3x11-love-is-a-battlefield,Love is a Battlefield,3,11,regular,2015-08-27,22:00,2015-08-28T02:00:00+00:00,60,5.2,https://static.tvmaze.com/uploads/images/medium_landscape/16/40250.jpg,"The head of Aktaion, to test a possible cure for infected townspeople. Also, Joe chooses to work with Christine after she shares some shocking information about the entity behind the Dome.",https://api.tvmaze.com/episodes/185052
37,185053,https://www.tvmaze.com/episodes/185053/under-the-dome-3x12-incandescence,Incandescence,3,12,regular,2015-09-03,22:00,2015-09-04T02:00:00+00:00,60,5.6,https://static.tvmaze.com/uploads/images/medium_landscape/16/41932.jpg,Who is adamant that infected townspeople never escape the Dome.,https://api.tvmaze.com/episodes/185053
